subj,RT,cond,type,confresponse
103,0.9815000295639038,faces,1,4
103,3.235599994659424,faces,2,1
103,0.8618000149726868,faces,2,1
103,3.445499897003174,faces,2,4
103,0.3712000250816345,faces,1,1
103,0.6720999479293823,faces,1,1
103,2.415800094604492,faces,1,1
103,1.6845999956130981,faces,2,4
103,3.6353001594543457,faces,2,1
103,1.6783000230789185,faces,1,4
103,0.26429998874664307,faces,2,99
103,3.782899856567383,faces,1,1
103,3.517699956893921,faces,2,4
103,5.526899814605713,faces,2,1
103,3.3461999893188477,faces,1,4
103,0.2831000089645386,faces,1,1
103,0.7005999684333801,faces,2,4
103,0.5187000036239624,faces,2,4
103,0.4261000156402588,faces,2,1
103,0.5960999727249146,faces,2,1
103,3.4611001014709473,faces,1,1
103,0.7390000224113464,faces,1,4
103,3.892399787902832,faces,2,1
103,2.8752999305725098,faces,2,4
103,1.669800043106079,faces,1,1
103,0.5351999998092651,faces,2,4
103,0.34439998865127563,faces,2,1
103,0.36020001769065857,faces,1,1
103,5.867700099945068,faces,2,1
103,0.3504999876022339,faces,1,4
103,0.9126999974250793,faces,2,1
103,2.3738999366760254,faces,1,1
103,1.178800106048584,faces,2,1
103,1.321199893951416,faces,2,4
103,2.5291998386383057,faces,2,1
103,0.6868000030517578,faces,1,4
103,1.6779000759124756,faces,1,1
103,0.7057999968528748,faces,1,4
103,7.723700046539307,faces,2,1
103,0.3774999976158142,faces,1,4
103,0.6762999892234802,faces,2,1
103,0.7760000228881836,faces,1,4
103,0.7070000171661377,faces,1,1
103,0.579200029373169,faces,1,1
101,2.649199962615967,words,2,5
101,1.2015000581741333,words,2,2
101,0.7210999727249146,words,1,5
101,0.8417999744415283,words,1,2
101,3.2274999618530273,words,2,2
101,0.7247000336647034,words,2,2
101,0.8544000387191772,words,1,5
101,0.6771000027656555,words,2,2
101,0.7421000003814697,words,2,5
101,0.8463000059127808,words,1,5
101,0.6500999927520752,words,2,2
101,1.1198999881744385,words,1,5
101,0.5925999879837036,words,2,2
101,0.7878000140190125,words,1,5
101,0.5724000334739685,words,2,2
101,0.5812999606132507,words,2,2
101,0.7445999979972839,words,2,5
101,0.8646000027656555,words,2,2
101,2.2437000274658203,words,1,5
101,1.0360000133514404,words,1,5
101,0.9294000267982483,words,1,5
101,0.9090999960899353,words,2,2
101,0.613599956035614,words,2,2
101,0.8845000267028809,words,2,2
101,0.9052000045776367,words,1,5
101,0.8562999963760376,words,2,5
101,0.8973000049591064,words,1,5
101,0.6315000057220459,words,2,2
101,0.9134000539779663,words,1,5
101,0.7379000186920166,words,1,5
101,0.7554000020027161,words,2,2
101,0.9699000120162964,words,2,2
101,0.6741999983787537,words,1,5
101,0.6092000007629395,words,2,2
101,0.8309999704360962,words,1,5
101,0.6676999926567078,words,2,2
101,1.3040000200271606,words,1,2
101,0.7049999833106995,words,1,5
